Id_Ciente;Nome;Conta N�;D�gito;Ag�ncia; Saldo ; Limite ;Id do Cart�o;N�mero do Cart�o; Limite do Cart�o ;News
62;Mariana;780145;0;2427;R$ 0;R$ 3.000,00;55;**** **** **** 8911;R$ 5.000;[{'id': 60, 'icon': 'string', 'description': 'string'}, {'id': 332, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 333, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1012, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Mariana, nunca é demais lembrar o peso e o significado destes problemas, uma vez que a adoção de políticas descentralizadoras possibilita uma melhor visão global dos relacionamentos verticais entre as hierarquias. '}]
63;Matheus;96845;0;2427;R$ 0;R$ 2.000,00;56;**** **** **** 5578;R$ 3.000;[{'id': 61, 'icon': 'string', 'description': 'string'}, {'id': 334, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 335, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1013, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Matheus, todas estas questões, devidamente ponderadas, levantam dúvidas sobre se a contínua expansão de nossa atividade possibilita uma melhor visão global do impacto na agilidade decisória. '}]
64;Guido;11111;0;1;R$ 0;R$ 0,00;57;**** **** **** 0001;R$ 0;[{'id': 62, 'icon': 'string', 'description': 'string'}, {'id': 336, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 337, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1014, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Guido, pensando mais a longo prazo, o comprometimento entre as equipes facilita a criação do orçamento setorial. '}]
65;Edson;5;5;1;R$ 0;R$ 500,00;58;**** **** **** 1010;R$ 1.000;[{'id': 67, 'icon': 'string', 'description': 'string'}, {'id': 338, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 339, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1015, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Edson, é claro que o aumento do diálogo entre os diferentes setores produtivos estende o alcance e a importância de todos os recursos funcionais envolvidos. '}]
66;Marcos;8;8;1;R$ 0;R$ 500,00;59;**** **** **** 2020;R$ 1.000;[{'id': 68, 'icon': 'string', 'description': 'string'}, {'id': 340, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 341, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1016, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Marcos, do mesmo modo, a necessidade de renovação processual promove a alavancagem da gestão inovadora da qual fazemos parte. '}]
67;Vagner;9;9;1;R$ 0;R$ 500,00;60;**** **** **** 3030;R$ 1.000;[{'id': 69, 'icon': 'string', 'description': 'string'}, {'id': 134, 'icon': '🤑', 'description': None}, {'id': 142, 'icon': '🤑', 'description': None}, {'id': 150, 'icon': '🤑', 'description': 'Vagner, Prepare-se para o longo prazo. Comece a investir.'}, {'id': 158, 'icon': '🤑', 'description': 'Vagner, Comece a investir hoje e mude seu amanhã.'}, {'id': 342, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 343, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1017, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Vagner, do mesmo modo, a percepção das dificuldades desafia a capacidade de equalização das diversas correntes de pensamento. '}]
68;Jose;1010;1;1;R$ 0;R$ 500,00;61;**** **** **** 5050;R$ 1.000;[{'id': 344, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 345, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1018, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Jose, percebemos, cada vez mais, que o desafiador cenário globalizado prepara-nos para enfrentar situações atípicas decorrentes do sistema de participação geral. '}]
69;Maria;2020;1;1;R$ 0;R$ 500,00;62;**** **** **** 6060;R$ 1.000;[{'id': 346, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 347, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1019, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Maria, a certificação de metodologias que nos auxiliam a lidar com o comprometimento entre as equipes ainda não demonstrou convincentemente que vai participar na mudança dos procedimentos normalmente adotados. '}]
70;Vagner;3030;1;1;R$ 0;R$ 500,00;63;**** **** **** 7070;R$ 1.000;[{'id': 348, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 349, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1020, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Vagner, as experiências acumuladas demonstram que o consenso sobre a necessidade de qualificação exige a precisão e a definição do orçamento setorial. '}]
71;Pipe;2;4;1;R$ 0;R$ 500,00;64;**** **** **** 4444;R$ 1.000;[{'id': 350, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 351, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1021, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pipe, o que temos que ter sempre em mente é que o comprometimento entre as equipes ainda não demonstrou convincentemente que vai participar na mudança dos relacionamentos verticais entre as hierarquias. '}]
72;devteste-9997;1248;9997;9997;R$ 1.230;R$ 1.230,00;65;**** **** **** 9997;R$ 33.330;[{'id': 70, 'icon': 'string', 'description': 'string'}, {'id': 352, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 353, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1022, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'devteste-9997, ainda assim, existem dúvidas a respeito de como a complexidade dos estudos efetuados nos obriga à análise das posturas dos órgãos dirigentes com relação às suas atribuições. '}]
77;Xico;74196;5;4196;R$ 0;R$ 99.999,00;70;**** **** **** 1881;R$ 8.000;[{'id': 362, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 363, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1027, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Xico, ainda assim, existem dúvidas a respeito de como a mobilidade dos capitais internacionais pode nos levar a considerar a reestruturação dos modos de operação convencionais. '}]
78;pata;321312;0;24510;R$ 0;R$ 500,00;71;**** **** **** 4610;R$ 200;[{'id': 73, 'icon': 'string', 'description': 'string'}, {'id': 78, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista no seu futuro financeiro'}, {'id': 364, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 365, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1028, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'pata, todavia, o início da atividade geral de formação de atitudes oferece uma interessante oportunidade para verificação das diretrizes de desenvolvimento para o futuro. '}]
79;peta;35452;0;24214;R$ 0;R$ 500,00;72;**** **** **** 4510;R$ 200;[{'id': 74, 'icon': 'string', 'description': 'string'}, {'id': 79, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Investir é cuidar do seu futuro. Não deixe para depois.'}, {'id': 366, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 367, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1029, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'peta, a nível organizacional, o novo modelo estrutural aqui preconizado talvez venha a ressaltar a relatividade do processo de comunicação como um todo. '}]
80;pita;33265222;0;2420214;R$ 0;R$ 500,00;73;**** **** **** 1210;R$ 200;[{'id': 75, 'icon': 'string', 'description': 'string'}, {'id': 80, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista no seu futuro financeiro!'}, {'id': 368, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 369, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1030, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'pita, todas estas questões, devidamente ponderadas, levantam dúvidas sobre se a execução dos pontos do programa nos obriga à análise das condições inegavelmente apropriadas. '}]
81;pota;3325888;0;2457554;R$ 0;R$ 500,00;74;**** **** **** 1210;R$ 200;[{'id': 76, 'icon': 'string', 'description': 'string'}, {'id': 370, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 371, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1031, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'pota, percebemos, cada vez mais, que a valorização de fatores subjetivos causa impacto indireto na reavaliação das regras de conduta normativas. '}]
82;puta;9995888;0;9957554;R$ 0;R$ 500,00;75;**** **** **** 9210;R$ 200;[{'id': 77, 'icon': 'string', 'description': 'string'}, {'id': 372, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 373, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1032, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'puta, por conseguinte, o surgimento do comércio virtual promove a alavancagem de alternativas às soluções ortodoxas. '}]
83;Maria;93;1;2039;R$ 0;R$ 500,00;76;**** **** **** 2111;R$ 1.000;[{'id': 374, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 375, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1033, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Maria, no mundo atual, o julgamento imparcial das eventualidades acarreta um processo de reformulação e modernização das direções preferenciais no sentido do progresso. '}]
84;Maria;193;1;2039;R$ 0;R$ 500,00;77;**** **** **** 2311;R$ 1.000;[{'id': 376, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 377, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1034, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Maria, caros amigos, a execução dos pontos do programa faz parte de um processo de gerenciamento dos relacionamentos verticais entre as hierarquias. '}, {'id': 1373, 'icon': None, 'description': 'Invista e conquiste o futuro!'}]
85;Roberta;103;1;2039;R$ 0;R$ 500,00;78;**** **** **** 2411;R$ 1.000;[{'id': 378, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 379, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1035, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Roberta, não obstante, o consenso sobre a necessidade de qualificação garante a contribuição de um grupo importante na determinação das condições inegavelmente apropriadas. '}, {'id': 1374, 'icon': None, 'description': 'Invista hoje e colha os frutos amanhã!'}]
86;Carla;113;1;2039;R$ 0;R$ 500,00;79;**** **** **** 2511;R$ 1.000;[{'id': 380, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 381, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1036, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Carla, as experiências acumuladas demonstram que a estrutura atual da organização faz parte de um processo de gerenciamento dos procedimentos normalmente adotados. '}, {'id': 1375, 'icon': None, 'description': 'Invista agora e garanta seu futuro financeiro!'}]
88;Pyterson;1;2;1;R$ 0;R$ 500,00;80;N�o Possui Cart�o;R$ 0;[{'id': 108, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Teste para a mensagem gerada do chatgpt'}, {'id': 109, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Teste para a mensagem gerada do chatgpt'}, {'id': 382, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 383, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1037, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pyterson, a prática cotidiana prova que o aumento do diálogo entre os diferentes setores produtivos nos obriga à análise dos níveis de motivação departamental. '}]
89;Pip;2;3;2;R$ 0;R$ 500,00;81;**** **** **** 1110;R$ 1.000;[{'id': 110, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Teste para a mensagem gerada do chatgpt'}, {'id': 111, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Teste para a mensagem gerada do chatgpt'}, {'id': 384, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 385, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1038, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pip, todas estas questões, devidamente ponderadas, levantam dúvidas sobre se o julgamento imparcial das eventualidades pode nos levar a considerar a reestruturação dos procedimentos normalmente adotados. '}]
90;Pep;4;3;3;R$ 0;R$ 500,00;82;**** **** **** 3330;R$ 1.000;[{'id': 112, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Teste para a mensagem gerada do chatgpt'}, {'id': 113, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Teste para a mensagem gerada do chatgpt'}, {'id': 386, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 387, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1039, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pep, ainda assim, existem dúvidas a respeito de como a estrutura atual da organização afeta positivamente a correta previsão das direções preferenciais no sentido do progresso. '}]
91;Vitor Fontenle;12546665;0;216465;R$ 0;R$ 500,00;83;**** **** **** 2555;R$ 1.000;[{'id': 81, 'icon': 'string', 'description': 'string'}, {'id': 388, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 389, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1040, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Vitor Fontenle, no mundo atual, a percepção das dificuldades promove a alavancagem das formas de ação. '}]
92;Vitor Fontenle2;1254665;0;216465;R$ 0;R$ 500,00;84;**** **** **** 2555;R$ 1.000;[{'id': 82, 'icon': 'string', 'description': 'string'}, {'id': 390, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 391, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1041, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Vitor Fontenle2, por outro lado, a percepção das dificuldades pode nos levar a considerar a reestruturação do investimento em reciclagem técnica. '}]
93;Vitor Fontenle3;1214665;0;216465;R$ 0;R$ 500,00;85;**** **** **** 2555;R$ 1.000;[{'id': 83, 'icon': 'string', 'description': 'string'}, {'id': 392, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 393, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1042, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Vitor Fontenle3, desta maneira, o entendimento das metas propostas assume importantes posições no estabelecimento do fluxo de informações. '}]
94;Pyterson Teste;1000;1;1;R$ 0;R$ 500,00;86;**** **** **** 1234;R$ 1.000;[{'id': 215, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista hoje para garantir seu futuro financeiro!'}, {'id': 216, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista para um futuro sólido e próspero!'}, {'id': 394, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 395, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1043, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pyterson Teste, gostaria de enfatizar que a crescente influência da mídia maximiza as possibilidades por conta das diretrizes de desenvolvimento para o futuro. '}]
95;Pip Teste;1000;2;1;R$ 0;R$ 500,00;87;**** **** **** 1235;R$ 1.000;[{'id': 217, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista no futuro, invista em seu sucesso.'}, {'id': 218, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Descubra o poder dos investimentos e alcance seus objetivos financeiros com Pip Teste!'}, {'id': 396, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 397, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1044, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pip Teste, neste sentido, o consenso sobre a necessidade de qualificação deve passar por modificações independentemente da gestão inovadora da qual fazemos parte. '}]
96;Pep Teste;1000;3;1;R$ 0;R$ 500,00;88;**** **** **** 1236;R$ 1.000;[{'id': 219, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista seu dinheiro e conquiste seus objetivos.'}, {'id': 220, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista no seu futuro, Pep Teste. Faça seu dinheiro trabalhar por você!'}, {'id': 398, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 399, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1045, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pep Teste, no entanto, não podemos esquecer que a consulta aos diversos militantes prepara-nos para enfrentar situações atípicas decorrentes das posturas dos órgãos dirigentes com relação às suas atribuições. '}]
97;Wilker;0;1;1;R$ 0;R$ 5.000.000,00;89;**** **** **** 2101;R$ 0;[{'id': 84, 'icon': 'string', 'description': 'string'}, {'id': 400, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 401, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1046, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Wilker, nunca é demais lembrar o peso e o significado destes problemas, uma vez que a adoção de políticas descentralizadoras assume importantes posições no estabelecimento dos métodos utilizados na avaliação de resultados. '}]
98;Danillo;1;10;9999;R$ 0;R$ 25,00;90;**** **** **** 0101;R$ 10;[{'id': 402, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 403, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1047, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Danillo, do mesmo modo, a crescente influência da mídia garante a contribuição de um grupo importante na determinação dos paradigmas corporativos. '}]
99;Mark;1;11;9999;R$ 0;R$ 250,00;91;**** **** **** 1121;R$ 100;[{'id': 404, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 405, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1048, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Mark, é claro que a consulta aos diversos militantes cumpre um papel essencial na formulação da gestão inovadora da qual fazemos parte. '}]
100;Tony;1;12;9999;R$ 0;R$ 255,00;92;**** **** **** 1122;R$ 950;[{'id': 406, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 407, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1049, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Tony, evidentemente, a estrutura atual da organização faz parte de um processo de gerenciamento do retorno esperado a longo prazo. '}]
101;Márcia;1;13;9999;R$ 0;R$ 55,00;93;**** **** **** 1123;R$ 50;[{'id': 408, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 409, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1050, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Márcia, todavia, a estrutura atual da organização ainda não demonstrou convincentemente que vai participar na mudança dos níveis de motivação departamental. '}]
102;Donizeti;1;14;9999;R$ 0;R$ 555,00;94;**** **** **** 1124;R$ 505;[{'id': 410, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 411, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 1051, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Donizeti, no mundo atual, o entendimento das metas propostas desafia a capacidade de equalização de todos os recursos funcionais envolvidos. '}]
